Component,Random Forest
0,0.5411774474248306
1,0.08377864986215436
2,0.09754647016705299
3,0.09996182131144978
4,0.003708589731483954
5,0.0029566335170759035
6,0.002501467391423489
7,0.0027020151309799134
8,0.0016350102397932724
9,0.006131485926917344
10,0.020605036260612608
11,0.0018447995194217246
12,0.0019222592308361381
13,0.0021192052170140177
14,0.0016442689697036773
15,0.001826592818842817
16,0.0019921740933995257
17,0.0015727253243047817
18,0.0017988754898598264
19,0.001454372451600093
20,0.0017603442754815812
21,0.0017072059213866177
22,0.0015237992004217408
23,0.001510149076848659
24,0.0014738142932603784
25,0.002175924076323934
26,0.0033036986323625845
27,0.001370017541904553
28,0.00248481406917386
29,0.001477903257211104
30,0.0017667920054927973
31,0.0013759637782094043
32,0.003164524847462205
33,0.001826556715408601
34,0.0013783563512234482
35,0.0020194541791949683
36,0.002220403376411295
37,0.0035116712084548637
38,0.0017563213292809015
39,0.0015300809514093806
40,0.0013884589753208987
41,0.001622692361410856
42,0.001233539084993176
43,0.0013244702121338367
44,0.0013345716271864322
45,0.0012983155010781533
46,0.0012841465894404783
47,0.0022706829398363975
48,0.0017533707112246668
49,0.001593128851900276
50,0.0016059298048006594
51,0.0012503344924326644
52,0.0018820912341520311
53,0.0015255866867778716
54,0.00131400541614571
55,0.0012995408329913528
56,0.0013618523646073835
57,0.0013791766504755538
58,0.0012364375964244586
59,0.0012906760804278336
60,0.0011380632481684527
61,0.0012193144766099154
62,0.0012560227285856101
63,0.0012963985011716214
64,0.0012743672022162392
65,0.001277049172523009
66,0.0012788088346247673
67,0.0018629100968176413
68,0.0013197785530644228
69,0.0012940547619470727
70,0.0013369662423872509
71,0.0013414437048836364
72,0.001315721941264153
73,0.0013635812174120163
74,0.0012735323352029253
75,0.0012204658658369972
76,0.0012530996691572905
77,0.0013843220914893527
78,0.0013869506747331778
79,0.001354713055398086
80,0.0017884015965429804
81,0.0012288043053450908
82,0.0013332640350425032
83,0.0012626184008721938
84,0.0012503473297986703
85,0.0012936234807017714
86,0.0012854350893830085
87,0.001258506475305946
88,0.0012524212605179318
89,0.0012866586785866315
90,0.0012088774619916083
91,0.001309595897719396
92,0.0012322001311129245
93,0.0012572187012192522
94,0.0012626180366177293
95,0.0014015641294820012
96,0.0013540089197970754
97,0.0012295840339755326
98,0.0012903383810344677
99,0.001299646102018994
